"pt_lonlattext"
"POINT(-74.0073029 40.682123)"
"POINT(-74.004989 40.6803195)"
"POINT(-74.0060537 40.6832265)"
"POINT(-74.065187 40.7241191)"
"POINT(-74.0644832 40.7253416)"
"POINT(-74.0553861 40.7210304)"
"POINT(-74.0675303 40.7263735)"
"POINT(-74.0671859 40.727171)"
"POINT(-74.0671784 40.7318106)"
"POINT(-74.0649665 40.7302678)"
"POINT(-74.0643123 40.7308667)"
"POINT(-74.0634013 40.7307175)"
"POINT(-74.0642344 40.7315569)"
"POINT(-74.0630479 40.733005)"
"POINT(-74.0596019 40.7326)"
"POINT(-74.0592341 40.7348787)"
"POINT(-74.0574429 40.730946)"
"POINT(-74.0552779 40.729909)"
"POINT(-74.0398036 40.7133335)"
"POINT(-74.0381242 40.7131362)"
"POINT(-74.0376819 40.715282)"
"POINT(-74.0364223 40.7129848)"
"POINT(-74.0362771 40.7136536)"
"POINT(-74.0351165 40.7128633)"
"POINT(-74.0348275 40.71307)"
"POINT(-74.0347499 40.7134836)"
"POINT(-74.0361268 40.7143636)"
"POINT(-74.0359444 40.7150955)"
"POINT(-74.0346033 40.7142042)"
"POINT(-74.0344489 40.7149276)"
"POINT(-74.0124662 40.7015183)"
"POINT(-74.0137607 40.7024037)"
"POINT(-74.012837 40.7024415)"
"POINT(-74.0144383 40.7031516)"
"POINT(-74.0144035 40.7036143)"
"POINT(-74.0115049 40.702959)"
"POINT(-74.0115824 40.7035187)"
"POINT(-74.0115759 40.7040261)"
"POINT(-74.0102042 40.7032931)"
"POINT(-74.0089635 40.7040838)"
"POINT(-74.0087889 40.704211)"
"POINT(-74.0079886 40.7031983)"
"POINT(-74.0077786 40.7033242)"
"POINT(-74.0070606 40.7037691)"
"POINT(-74.0062888 40.7042568)"
"POINT(-74.0169086 40.7048317)"
"POINT(-74.0164163 40.7048817)"
"POINT(-74.0156375 40.7049447)"
"POINT(-74.0149771 40.7048267)"
"POINT(-74.0162323 40.7066286)"
"POINT(-74.0159532 40.706677)"
"POINT(-74.016012 40.7071601)"
"POINT(-74.0156971 40.7073071)"
"POINT(-74.0157753 40.7077457)"
"POINT(-74.0155121 40.7077008)"
"POINT(-74.0150378 40.7098348)"
"POINT(-74.016375 40.7100848)"
"POINT(-74.0158084 40.7115654)"
"POINT(-74.0151432 40.7143219)"
"POINT(-74.0142202 40.7046327)"
"POINT(-74.0132813 40.7045991)"
"POINT(-74.0135458 40.7069158)"
"POINT(-74.0132405 40.7058713)"
"POINT(-74.0125079 40.706767)"
"POINT(-74.0115502 40.7049909)"
"POINT(-74.0135998 40.7079832)"
"POINT(-74.0129582 40.7077766)"
"POINT(-74.014729 40.7098267)"
"POINT(-74.0130784 40.7091587)"
"POINT(-74.0119469 40.707452)"
"POINT(-74.0117029 40.707756)"
"POINT(-74.0112479 40.708304)"
"POINT(-74.0121441 40.7089803)"
"POINT(-74.0108459 40.708797)"
"POINT(-74.0119349 40.709306)"
"POINT(-74.0116739 40.709687)"
"POINT(-74.0105419 40.709154)"
"POINT(-74.0099879 40.709806)"
"POINT(-74.0081259 40.704672)"
"POINT(-74.0073919 40.705183)"
"POINT(-74.0067659 40.705624)"
"POINT(-74.0067809 40.706724)"
"POINT(-74.0060209 40.706142)"
"POINT(-74.0055219 40.705791)"
"POINT(-74.0050029 40.706853)"
"POINT(-74.004067 40.7074502)"
"POINT(-74.0054737 40.709095)"
"POINT(-74.0064349 40.709557)"
"POINT(-74.0048269 40.70966)"
"POINT(-74.0146456 40.7111302)"
"POINT(-74.0144343 40.7110326)"
"POINT(-74.0112319 40.710367)"
"POINT(-74.0108009 40.711017)"
"POINT(-74.0094739 40.710413)"
"POINT(-74.0104649 40.711535)"
"POINT(-74.0101302 40.7120904)"
"POINT(-74.0139334 40.7138012)"
"POINT(-74.0136812 40.7137089)"
"POINT(-74.0135527 40.715273)"
"POINT(-74.0132134 40.7152193)"
"POINT(-74.010996 40.7133366)"
"POINT(-74.009667 40.712736)"
"POINT(-74.0105665 40.7138543)"
"POINT(-74.0113335 40.7149221)"
"POINT(-74.0101279 40.714383)"
"POINT(-74.0096776 40.7149502)"
"POINT(-74.0090629 40.710887)"
"POINT(-74.0077449 40.710221)"
"POINT(-74.0086337 40.7113899)"
"POINT(-74.0081224 40.7119926)"
"POINT(-74.0070495 40.7117884)"
"POINT(-74.006966 40.7117008)"
"POINT(-74.0076722 40.7125287)"
"POINT(-74.0055989 40.710397)"
"POINT(-74.0060392 40.7119161)"
"POINT(-74.0060875 40.7120267)"
"POINT(-74.0048444 40.7124759)"
"POINT(-74.0092661 40.7132584)"
"POINT(-74.0088462 40.7138056)"
"POINT(-74.0072253 40.7130447)"
"POINT(-74.0067529 40.713618)"
"POINT(-74.0084007 40.7143685)"
"POINT(-74.007952 40.7149352)"
"POINT(-74.0044351 40.7126748)"
"POINT(-74.0040589 40.713135)"
"POINT(-74.006304 40.7141733)"
"POINT(-74.0058864 40.7146812)"
"POINT(-74.0054199 40.715236)"
"POINT(-74.0466889 40.720669)"
"POINT(-74.0429669 40.71951)"
"POINT(-74.0428889 40.7199833)"
"POINT(-74.0390588 40.7169899)"
"POINT(-74.0373776 40.7167953)"
"POINT(-74.0371829 40.7177)"
"POINT(-74.0388169 40.7182174)"
"POINT(-74.0409813 40.721514)"
"POINT(-74.0357086 40.7166169)"
"POINT(-74.0342983 40.7156577)"
"POINT(-74.0341519 40.7164229)"
"POINT(-74.0356227 40.7173195)"
"POINT(-74.03462 40.7171496)"
"POINT(-74.0343426 40.7171055)"
"POINT(-74.0352103 40.7193938)"
"POINT(-74.0368255 40.719575)"
"POINT(-74.0366733 40.7202673)"
"POINT(-74.0356622 40.725324)"
"POINT(-74.0354472 40.7253058)"
"POINT(-74.0429795 40.7303341)"
"POINT(-74.0446216 40.7304767)"
"POINT(-74.0413314 40.73018)"
"POINT(-74.0396798 40.7299475)"
"POINT(-74.0410983 40.7317012)"
"POINT(-74.0394375 40.7315532)"
"POINT(-74.0444034 40.7320084)"
"POINT(-74.0427435 40.7318505)"
"POINT(-74.0442031 40.7333663)"
"POINT(-74.0439681 40.7349596)"
"POINT(-74.0408939 40.736569)"
"POINT(-74.0406889 40.737222)"
"POINT(-74.0385401 40.7368413)"
"POINT(-74.034829 40.7292628)"
"POINT(-74.0345533 40.7292386)"
"POINT(-74.0345252 40.7293992)"
"POINT(-74.0347968 40.7294233)"
"POINT(-74.0314629 40.7356025)"
"POINT(-74.0310578 40.7369205)"
"POINT(-74.0289942 40.7365562)"
"POINT(-74.0299768 40.7367344)"
"POINT(-74.028827 40.7371021)"
"POINT(-74.0132222 40.7165276)"
"POINT(-74.012933 40.7164234)"
"POINT(-74.01304 40.7172418)"
"POINT(-74.0127587 40.7171144)"
"POINT(-74.0111022 40.7155991)"
"POINT(-74.0109453 40.7162912)"
"POINT(-74.0123245 40.7190475)"
"POINT(-74.0122754 40.7203353)"
"POINT(-74.0120425 40.7203104)"
"POINT(-74.0101206 40.7201173)"
"POINT(-74.0100068 40.7207656)"
"POINT(-74.0092213 40.7155224)"
"POINT(-74.0092009 40.716193)"
"POINT(-74.0088191 40.7160188)"
"POINT(-74.0083779 40.716587)"
"POINT(-74.0075518 40.7154408)"
"POINT(-74.0071071 40.7160026)"
"POINT(-74.0066843 40.7165367)"
"POINT(-74.0091149 40.71692)"
"POINT(-74.0090639 40.717265)"
"POINT(-74.0089429 40.717925)"
"POINT(-74.0079569 40.717122)"
"POINT(-74.0075332 40.7176679)"
"POINT(-74.0049759 40.71576)"
"POINT(-74.0045302 40.7162869)"
"POINT(-74.0062504 40.7170848)"
"POINT(-74.0057918 40.7176834)"
"POINT(-74.0040259 40.716871)"
"POINT(-74.0086989 40.719296)"
"POINT(-74.0070519 40.718269)"
"POINT(-74.0069346 40.7191185)"
"POINT(-74.0085822 40.7199619)"
"POINT(-74.0084659 40.7206456)"
"POINT(-74.0067999 40.719782)"
"POINT(-74.0066709 40.7204501)"
"POINT(-74.0053608 40.7182987)"
"POINT(-74.0065861 40.7188732)"
"POINT(-74.0051716 40.7190194)"
"POINT(-74.0048351 40.7188593)"
"POINT(-74.0061347 40.7194586)"
"POINT(-74.0051933 40.7198568)"
"POINT(-74.0043701 40.7194841)"
"POINT(-74.0039145 40.7200394)"
"POINT(-74.0052197 40.7206388)"
"POINT(-74.0117682 40.7216452)"
"POINT(-74.0098818 40.7214709)"
"POINT(-74.009766 40.7221385)"
"POINT(-74.0118543 40.7223501)"
"POINT(-74.0116274 40.7223271)"
"POINT(-74.0117187 40.7229994)"
"POINT(-74.0114957 40.7229769)"
"POINT(-74.010558 40.7222178)"
"POINT(-74.0113645 40.7236291)"
"POINT(-74.0112345 40.7242763)"
"POINT(-74.0112853 40.7252093)"
"POINT(-74.0110506 40.7251813)"
"POINT(-74.0112013 40.7257225)"
"POINT(-74.0109299 40.7258067)"
"POINT(-74.0100906 40.7253004)"
"POINT(-74.0100723 40.7250652)"
"POINT(-74.0083432 40.7213301)"
"POINT(-74.0082308 40.7219848)"
"POINT(-74.0081186 40.7226441)"
"POINT(-74.0065526 40.7210964)"
"POINT(-74.0052898 40.7218356)"
"POINT(-74.0046174 40.7213697)"
"POINT(-74.0039183 40.7208687)"
"POINT(-74.0063043 40.7225635)"
"POINT(-74.0062153 40.7231321)"
"POINT(-74.0050634 40.7230028)"
"POINT(-74.0092993 40.7247725)"
"POINT(-74.0079296 40.7237578)"
"POINT(-74.0090916 40.7260025)"
"POINT(-74.0076689 40.725192)"
"POINT(-74.0069671 40.7250133)"
"POINT(-74.0075546 40.7258538)"
"POINT(-74.0061129 40.7237914)"
"POINT(-74.0060054 40.7244159)"
"POINT(-74.0047859 40.723625)"
"POINT(-74.0043799 40.724055)"
"POINT(-74.0045749 40.724173)"
"POINT(-74.0042977 40.7248726)"
"POINT(-74.0058939 40.725026)"
"POINT(-74.0057795 40.7256821)"
"POINT(-74.0040309 40.725513)"
"POINT(-74.0109419 40.7291525)"
"POINT(-74.0107671 40.7291341)"
"POINT(-74.0105553 40.7291112)"
"POINT(-74.0106786 40.7298427)"
"POINT(-74.0104776 40.7298231)"
"POINT(-74.0105573 40.7312967)"
"POINT(-74.010338 40.7312869)"
"POINT(-74.0088449 40.72747)"
"POINT(-74.0074339 40.726601)"
"POINT(-74.0073199 40.727328)"
"POINT(-74.0093501 40.7289809)"
